Category,Value,Base,Result,Frequency,Evaluable
Syntagm Type,ADJP,50,0,0.00%,False
Syntagm Type,ADVP,54,0,0.00%,False
Syntagm Type,CONJP,1,0,0.00%,False
Syntagm Type,INTJ,2,0,0.00%,False
Syntagm Type,NP,2446,15,0.61%,True
Syntagm Type,PP,657,3,0.46%,True
Syntagm Type,PRT,23,0,0.00%,False
Syntagm Type,QP,6,0,0.00%,False
Syntagm Type,SBAR,287,1,0.35%,True
Syntagm Type,VP,676,2,0.30%,True
Syntagm Type,WHADVP,27,0,0.00%,False
Syntagm Type,WHNP,91,0,0.00%,False
Granularity,chunk,1613,6,0.37%,True
Granularity,clause,72,0,0.00%,False
Granularity,minimal,2635,15,0.57%,True
Sentence Index,0,3030,12,0.40%,True
Sentence Index,1,543,1,0.18%,True
Sentence Index,2,420,6,1.43%,True
Sentence Index,3,207,1,0.48%,False
Sentence Index,4,66,0,0.00%,False
Sentence Index,5,22,0,0.00%,False
Sentence Index,6,18,0,0.00%,False
Sentence Index,7,8,1,12.50%,False
Sentence Index,8,3,0,0.00%,False
Sentence Index,9,3,0,0.00%,False
